workflow-job                       Pipeline: Job                                                    2.39
cloudbees-folder                   Folders Plugin                                                   6.14
token-macro                        Token Macro Plugin                                               2.12
docker-workflow                    Docker Pipeline                                                  1.23 (1.24)
matrix-project                     Matrix Project Plugin                                            1.17
jackson2-api                       Jackson 2 API Plugin                                             2.11.2
credentials                        Credentials Plugin                                               2.3.12
pipeline-model-api                 Pipeline: Model API                                              1.7.1
workflow-basic-steps               Pipeline: Basic Steps                                            2.20
jdk-tool                           Oracle Java SE Development Kit Installer Plugin                  1.4
echarts-api                        ECharts API Plugin                                               4.8.0-2
apache-httpcomponents-client-4-api Apache HttpComponents Client 4.x API Plugin                      4.5.10-2.0
pipeline-stage-tags-metadata       Pipeline: Stage Tags Metadata                                    1.7.1
handlebars                         JavaScript GUI Lib: Handlebars bundle plugin                     1.1.1
scm-api                            SCM API Plugin                                                   2.6.3
workflow-step-api                  Pipeline: Step API                                               2.22
plain-credentials                  Plain Credentials Plugin                                         1.7
authentication-tokens              Authentication Tokens API Plugin                                 1.4
lockable-resources                 Lockable Resources plugin                                        2.8
pipeline-github-lib                Pipeline: GitHub Groovy Libraries                                1.0
build-timeout                      Build Timeout                                                    1.20
ssh-credentials                    SSH Credentials Plugin                                           1.18.1
jquery-detached                    JavaScript GUI Lib: jQuery bundles (jQuery and jQuery UI) plugin 1.2.1
workflow-multibranch               Pipeline: Multibranch                                            2.22
git-server                         GIT server Plugin                                                1.9
workflow-cps                       Pipeline: Groovy                                                 2.82
workflow-scm-step                  Pipeline: SCM Step                                               2.11
junit                              JUnit Plugin                                                     1.31
pipeline-build-step                Pipeline: Build Step                                             2.13
durable-task                       Durable Task Plugin                                              1.34
plugin-util-api                    Plugin Utilities API Plugin                                      1.2.2
command-launcher                   Command Agent Launcher Plugin                                    1.4
pipeline-stage-step                Pipeline: Stage Step                                             2.5
ws-cleanup                         Workspace Cleanup Plugin                                         0.38
matrix-auth                        Matrix Authorization Strategy Plugin                             2.6.2
git                                Git plugin                                                       4.3.0
trilead-api                        Trilead API Plugin                                               1.0.8
jquery3-api                        JQuery3 API Plugin                                               3.5.1-1
workflow-api                       Pipeline: API                                                    2.40
momentjs                           JavaScript GUI Lib: Moment.js bundle plugin                      1.1.1
ldap                               LDAP Plugin                                                      1.24
jaxb                               JAXB plugin                                                      2.3.0.1
snakeyaml-api                      Snakeyaml API Plugin                                             1.26.4
antisamy-markup-formatter          OWASP Markup Formatter Plugin                                    2.1
workflow-support                   Pipeline: Supporting APIs                                        3.5
github                             GitHub plugin                                                    1.31.0
structs                            Structs Plugin                                                   1.20
pipeline-model-extensions          Pipeline: Declarative Extension Points API                       1.7.1
resource-disposer                  Resource Disposer Plugin                                         0.14
pipeline-input-step                Pipeline: Input Step                                             2.11
pam-auth                           PAM Authentication plugin                                        1.6
github-api                         GitHub API Plugin                                                1.115
okhttp-api                         OkHttp Plugin                                                    3.14.9
script-security                    Script Security Plugin                                           1.74
ssh-slaves                         SSH Build Agents plugin                                          1.31.2
docker-commons                     Docker Commons Plugin                                            1.17
pipeline-milestone-step            Pipeline: Milestone Step                                         1.3.1
workflow-aggregator                Pipeline                                                         2.6
workflow-cps-global-lib            Pipeline: Shared Groovy Libraries                                2.17
github-branch-source               GitHub Branch Source Plugin                                      2.8.3
timestamper                        Timestamper                                                      1.11.5
pipeline-graph-analysis            Pipeline Graph Analysis Plugin                                   1.10
ace-editor                         JavaScript GUI Lib: ACE Editor bundle plugin                     1.1
credentials-binding                Credentials Binding Plugin                                       1.23
workflow-durable-task-step         Pipeline: Nodes and Processes                                    2.35 (2.36)
bouncycastle-api                   bouncycastle API Plugin                                          2.18
git-client                         Git client plugin                                                3.4.1
gradle                             Gradle Plugin                                                    1.36
pipeline-model-definition          Pipeline: Declarative                                            1.7.1
display-url-api                    Display URL API                                                  2.3.3
email-ext                          Email Extension Plugin                                           2.74 (2.75)
branch-api                         Branch API Plugin                                                2.5.9
jsch                               JSch dependency plugin                                           0.1.55.2
mailer                             Mailer Plugin                                                    1.32
pipeline-stage-view                Pipeline: Stage View Plugin                                      2.14
pipeline-rest-api                  Pipeline: REST API Plugin                                        2.14
ant                                Ant Plugin                                                       1.11
